1: 55-21×1=
2: 46-9+48=
3: 96-(42+26)=
4: 15+48-15=
5: 49+25-14=
6: 59+30-53=
7: 16-5×3=
8: 9×2+41=
9: 39+35-61=
10: 11×4+54=
11: 59-(57-51)=
12: 48+35-53=
13: 41+47-86=
14: 80+15-15=
15: 11+31-33=
16: 68-(2+31)=
17: 28+43-52=
18: 77-74+84=
19: 15-14+71=
20: 18×4+8=
21: 4×5+59=
22: 59-46+68=
23: 1×92-20=
24: 94-46+47=
25: 52-41+38=
26: 58-(4+7)=
27: 3×12+50=
28: 67-48+15=
29: 97×1-47=
30: 31×3-72=
31: 88-14-38=
32: 92-(91-90)=
33: 85-(49+16)=
34: 63-9-5=
35: (62-61)×12=
36: 7+5+61=
37: 46-5-30=
38: 7×12+6=
39: 91-(1+61)=
40: 43×1-39=
41: 1×49-13=
42: 2×5+45=
43: 10×3+52=
44: 45-(15+3)=
45: 6+63+16=
46: 2+34+20=
47: 14×5-62=
48: 91-35+3=
49: 67+28-73=
50: 54-31+8=
51: 42+57-77=
52: 80-79+5=
53: 86-(93-87)=
54: 47+19+27=
55: 85-15-55=
56: 83+12-14=
57: 8×6+43=
58: 80-(8+13)=
59: 31-(19-18)=
60: 88-(63-21)=
61: 36+6+57=
62: 64-(70-53)=
63: 5×7+8=
64: 77×1-73=
65: 52-(29-2)=
66: 95-26+30=
67: (84-67)×3=
68: 6+51-11=
69: 82-7-36=
70: 89×1-36=
71: (9+18)×2=
72: 54-25+47=
73: 98-92+28=
74: 94-14-8=
75: 27×3+3=
76: 94-5×6=
77: 46-25+78=
78: 74-(41-1)=
79: 4×10+23=
80: 1×51-36=
81: 65+1+24=
82: 22+1+58=
83: 14×1+27=
84: 3+70-56=
85: 94-2×12=
86: 36+59-11=
87: 59-19×1=
88: 72-26+25=
89: 19+61-26=
90: 1×22+54=
91: 61-2×7=
92: 96-(3+38)=
93: 60×1+20=
94: 11+17+71=
95: 11×9-89=
96: 51-19+35=
97: (37-33)×23=
98: 82-80×1=
99: 99-(18+65)=
100: 1×18+62=
101: 73-(3+39)=
102: 48-4+2=
103: 41+28-68=
104: 45-44+16=
105: 45-41+73=
106: 53-51+5=
107: 85-3×21=
108: 63-14+8=
109: 47+21+26=
110: 47-(8-4)=
111: 22+6+41=
112: 2×12+49=
113: 58-42+44=
114: 55-1×46=
115: 8×11-35=
116: 11×4+2=
117: 57-(44-39)=
118: 79-(21+19)=
119: 1×99-25=
120: 17+3+34=
121: 75-(70-67)=
122: 79+15-66=
123: 36-17+74=
124: 98-(93-33)=
125: 46+5-29=
126: 7×14-81=
127: 25×3+11=
128: 20-11×1=
129: 67-64+90=
130: 74-(67-15)=
131: 1×24+17=
132: 61-7×6=
133: 19+73-5=
134: 4+55-17=
135: 58-28×2=
136: 66-4×2=
137: 43×2+13=
138: 85-(23-5)=
139: 27-3×2=
140: 80-52+11=
141: 79+19-96=
142: 46×2-47=
143: 34+8+11=
144: 23+15-19=
145: 34+32+19=
146: 97-5×19=
147: 10×9+4=
148: 47+17-17=
149: 49-27-21=
150: 42+21+1=
151: 99-(37+13)=
152: 7×8-26=
153: 59-50+64=
154: 3×23-15=
155: 23×4-67=
156: 84-10×7=
157: 54+24-15=
158: 18×4+18=
159: 76-1-13=
160: 94-5×18=
161: 26+41+8=
162: 1×95-27=
163: 68-27+53=
164: 69-13+31=
165: 40+54-81=
166: 12+56-32=
167: 61-3×16=
168: 17+25+48=
169: 32+43+10=
170: 10×7-65=
171: 28×2-53=
172: 3×8+73=
173: 24+22+18=
174: 95-31+26=
175: 26×3+13=
176: 39+58-52=
177: 72-(43+26)=
178: 1×32+8=
179: 77-(17+26)=
180: 10+16-16=
181: 48-1×30=
182: 54-(69-40)=
183: 27+23+5=
184: 90-2-39=
